record1,record2,similarity_score,company
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Brands Product Manager Team lead', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Brands Product Manager Team lead', 'location': 'Valencia', 'seniority': 'Lead'}",0.8,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250822_103348_DataPM_result_batch_2.csv', 'title': 'RESPONSABLE PROYECTOS I+D+I', 'location': 'Beniparrell', 'seniority': 'Unknown'}","{'file': '20250822_103348_DataPM_result_batch_3.csv', 'title': 'RESPONSABLE PROYECTOS I+D+I', 'location': 'Beniparrell', 'seniority': 'Unknown'}",1.0,Importaco
"{'file': '20250822_103348_DataPM_result_batch_2.csv', 'title': 'Development Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_103348_DataPM_result_batch_3.csv', 'title': 'Development Manager', 'location': 'Valencia', 'seniority': 'Manager'}",1.0,31st Union
"{'file': '20250822_103348_DataPM_result_batch_3.csv', 'title': 'New Product Introduction (NPI) Senior Expert', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'New Product Introduction (NPI) Expert', 'location': 'Valencia', 'seniority': 'Unknown'}",0.8999999999999999,PowerCo
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'ESG Associate Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'ESG Associate Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,Apex Group
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'ESG Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'ESG Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}",1.0,Apex Group
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'ESG Associate Product Specialist', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'ESG Associate Product Specialist', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,Apex Group
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}",1.0,Avantio
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Lead'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Unknown'}",0.8,Cecotec
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'CATEGORY/PRODUCT MANAGER', 'location': 'Aldaya', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'CATEGORY/PRODUCT MANAGER', 'location': 'Aldaya', 'seniority': 'Manager'}",1.0,Sp-Berner
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'PRODUCT PLANNER', 'location': 'Puzol', 'seniority': 'Unknown'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'PRODUCT PLANNER', 'location': 'Puzol', 'seniority': 'Unknown'}",1.0,SanLucar
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Administrativo/a en calidad de producto', 'location': 'Oliva', 'seniority': 'Unknown'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Administrativo/a en calidad de producto', 'location': 'Oliva', 'seniority': 'Unknown'}",1.0,ALE-HOP
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Sr Product Manager', 'location': 'Castellón de la Plana', 'seniority': 'Senior'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Sr Product Manager', 'location': 'Castellón de la Plana', 'seniority': 'Senior'}",1.0,EFI
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Senior Product Manager - Omnia', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Senior Product Manager - Omnia', 'location': 'Valencia', 'seniority': 'Manager'}",1.0,Confluence
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Senior Product Manager - native Enterprise AI', 'location': 'Valencia', 'seniority': 'Senior'}","{'file': '20250822_143048_DataPM_result_batch_5.csv', 'title': 'Senior Product Manager - native Enterprise AI', 'location': 'Valencia', 'seniority': 'Senior'}",1.0,Maisa
"{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Senior Product Manager (Payments Platform, Disbursements)', 'location': 'Valencia', 'seniority': 'Senior'}","{'file': '20250822_143048_DataPM_result_batch_5.csv', 'title': 'Senior Product Manager (Payments Platform, Disbursements)', 'location': 'Valencia', 'seniority': 'Senior'}",1.0,Flywire
